iter	Passed	Remaining
0	136	136639
1	137	68665
2	138	45969
3	138	34609
4	139	27808
5	140	23250
6	140	19987
7	141	17534
8	141	15627
9	142	14100
10	142	12852
11	143	11812
12	143	10931
13	144	10175
14	144	9520
15	145	8947
16	145	8441
17	146	7992
18	147	7590
19	147	7233
20	148	6915
21	148	6620
22	149	6348
23	149	6099
24	150	5869
25	151	5657
26	151	5461
27	152	5278
28	152	5107
29	153	4948
30	153	4799
31	154	4660
32	154	4529
33	155	4405
34	155	4289
35	156	4179
36	156	4074
37	157	3976
38	157	3886
39	158	3798
40	158	3714
41	159	3634
42	159	3556
43	160	3483
44	160	3413
45	161	3346
46	161	3281
47	162	3222
48	163	3167
49	164	3118
50	164	3063
51	165	3012
52	165	2962
53	166	2912
54	166	2865
55	167	2820
56	167	2775
57	168	2733
58	168	2692
59	169	2652
60	169	2613
61	170	2582
62	171	2546
63	171	2511
64	172	2477
65	172	2444
66	173	2412
67	173	2378
68	174	2347
69	174	2318
70	175	2290
71	175	2262
72	176	2236
73	176	2212
74	177	2188
75	178	2166
76	178	2143
77	179	2119
78	179	2096
79	180	2074
80	180	2052
81	181	2030
82	181	2009
83	182	1988
84	182	1966
85	183	1948
86	183	1927
87	184	1909
88	184	1891
89	185	1873
90	185	1856
91	186	1839
92	186	1822
93	187	1805
94	187	1789
95	188	1773
96	188	1758
97	189	1743
98	190	1729
99	190	1714
100	191	1700
101	191	1684
102	191	1671
103	192	1659
104	193	1646
105	193	1633
106	194	1620
107	194	1607
108	195	1595
109	195	1584
110	196	1572
111	196	1560
112	197	1549
113	197	1538
114	198	1527
115	198	1515
116	199	1504
117	199	1493
118	200	1482
119	200	1471
120	201	1461
121	201	1451
122	201	1440
123	202	1430
124	203	1421
125	203	1412
126	204	1403
127	204	1393
128	205	1384
129	205	1375
130	206	1366
131	206	1357
132	207	1351
133	207	1343
134	208	1335
135	209	1327
136	209	1319
137	209	1311
138	210	1303
139	210	1295
140	211	1288
141	211	1280
142	212	1273
143	212	1265
144	213	1258
145	213	1251
146	214	1244
147	214	1237
148	215	1230
149	215	1223
150	216	1217
151	216	1210
152	217	1204
153	217	1197
154	218	1191
155	218	1184
156	219	1178
157	219	1172
158	220	1166
159	221	1161
160	221	1156
161	222	1150
162	223	1145
163	223	1139
164	224	1134
165	224	1128
166	225	1122
167	225	1117
168	226	1111
169	226	1106
170	227	1100
171	227	1095
172	228	1090
173	228	1085
174	229	1080
175	229	1075
176	230	1070
177	230	1065
178	231	1060
179	231	1055
180	231	1049
181	232	1044
182	232	1039
183	233	1035
184	234	1031
185	234	1026
186	235	1022
187	236	1020
188	237	1017
189	237	1013
190	238	1008
191	238	1004
192	239	999
193	239	995
194	240	991
195	240	987
196	241	983
197	241	979
198	242	975
199	242	971
200	243	967
201	243	963
202	244	959
203	244	955
204	245	951
205	245	947
206	246	943
207	247	940
208	247	936
209	248	933
210	248	930
211	249	926
212	249	922
213	250	919
214	250	915
215	251	912
216	251	909
217	252	905
218	253	902
219	253	899
220	254	895
221	254	892
222	255	889
223	255	885
224	256	882
225	256	879
226	257	876
227	257	872
228	258	869
229	258	866
230	259	862
231	259	859
232	260	856
233	260	853
234	261	850
235	261	847
236	262	844
237	262	841
238	263	838
239	263	835
240	264	832
241	264	829
242	265	826
243	265	823
244	266	820
245	266	818
246	267	815
247	268	812
248	268	810
249	269	807
250	269	804
251	270	801
252	270	798
253	271	796
254	271	793
255	272	790
256	272	788
257	273	785
258	273	782
259	274	780
260	274	777
261	275	775
262	275	772
263	276	770
264	276	767
265	277	764
266	277	762
267	278	759
268	279	758
269	279	755
270	280	753
271	280	751
272	281	749
273	282	747
274	282	744
275	283	742
276	283	740
277	284	738
278	284	735
279	285	734
280	286	733
281	287	731
282	287	729
283	288	727
284	289	725
285	289	723
286	290	721
287	291	719
288	291	717
289	292	716
290	293	714
291	294	712
292	294	710
293	295	708
294	295	706
295	296	705
296	297	704
297	298	702
298	298	700
299	299	699
300	300	698
301	302	698
302	302	696
303	303	694
304	304	692
305	304	691
306	305	689
307	305	687
308	306	685
309	307	683
310	309	684
311	311	686
312	313	687
313	314	687
314	315	685
315	315	683
316	316	682
317	317	680
318	317	678
319	318	676
320	318	674
321	319	672
322	320	671
323	320	669
324	321	667
325	322	665
326	322	664
327	323	662
328	324	660
329	325	660
330	326	660
331	328	660
332	328	658
333	329	657
334	330	655
335	330	654
336	331	652
337	332	650
338	332	648
339	333	646
340	333	645
341	334	643
342	335	642
343	336	640
344	336	639
345	337	637
346	337	635
347	338	634
348	340	634
349	341	633
350	342	634
351	343	632
352	344	631
353	344	629
354	345	627
355	346	626
356	346	624
357	347	622
358	347	621
359	348	619
360	349	618
361	349	616
362	350	614
363	350	613
364	351	611
365	352	609
366	353	610
367	354	609
368	356	609
369	357	608
370	357	606
371	358	605
372	359	603
373	359	602
374	360	600
375	360	599
376	361	597
377	362	595
378	362	594
379	363	592
380	363	591
381	364	590
382	365	588
383	365	586
384	366	585
385	367	584
386	368	584
387	370	584
388	371	583
389	372	581
390	372	580
391	373	579
392	373	577
393	374	576
394	375	574
395	375	572
396	376	571
397	376	570
398	377	568
399	378	567
400	378	565
401	379	564
402	379	562
403	380	561
404	380	559
405	382	558
406	383	558
407	384	557
408	386	557
409	386	556
410	387	555
411	387	553
412	388	552
413	389	550
414	389	549
415	390	547
416	390	546
417	391	545
418	392	543
419	392	542
420	393	541
421	394	539
422	394	538
423	395	536
424	395	535
425	396	534
426	397	533
427	399	533
428	400	533
429	401	531
430	401	530
431	402	529
432	402	527
433	403	526
434	404	525
435	404	523
436	405	522
437	405	520
438	406	519
439	407	518
440	408	517
441	408	516
442	409	514
443	410	513
444	410	512
445	412	512
446	414	512
447	415	511
